archivo;old_title;new_title;old_artist;new_artist;old_cantor;new_cantor;old_year;new_year;old_genre;new_genre;old_composer;new_composer;coincidencia_titulo
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 39 (Remasterizado)\14 - Negra Linda (Instrumental Remasterizado).flac;Negra linda;Negra linda;Francisco Canaro;Francisco Canaro;; ;1929-10-02;1929-10-02;maxixe;maxixe;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 42 (Remasterizado)\14 - New York (Instrumental Remasterizado).flac;New York;New York;Francisco Canaro;Francisco Canaro;; ;1929-11-29;1929-11-29;shimmy;shimmy;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 42 (Remasterizado)\15 - Zulema por Favor (Instrumental Remasterizado).flac;Zulema por favor;Zulema por favor;Francisco Canaro;Francisco Canaro;; ;1929-11-29;1929-11-29;shimmy;shimmy;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 43 (Remasterizado)\16 - Pájaro Azul (Instrumental Remasterizado).flac;Pájaro azul;Pájaro azul;Francisco Canaro;Francisco Canaro;; ;1929-12-17;1929-12-17;tango fantasia;tango fantasia;Musica: Francisco Canaro;Musica: Francisco Canaro;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Colección para entendidos - Francisco Canaro (1927-1931)\07.Juan Culliarisi & Adolfo Fortunato Urgo - Viejo callejón (10-05-1929).flac;Viejo callejón;Viejo callejón;Francisco Canaro;Francisco Canaro;Charlo;Charlo;1929-05-10;1929-05-10;tango;tango;;Musica: Juan Culiersi - Letra: Adolfo Urgo;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Colección para entendidos - Francisco Canaro (1929)\01.Alberto Alonso - Puro cuento (01-03-1929).flac;Puro cuento;Puro cuento;Francisco Canaro;Francisco Canaro;Charlo;Charlo;1929-03-01;1929-03-03;tango;tango;Musica: Alberto Alonso - Letra: Francisco Ruiz París (Francisco Ruiz Puch);Musica: Alberto Alonso - Letra: Francisco Ruiz París (Francisco Ruiz Puch);6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Colección para entendidos - Francisco Canaro (1929)\05.Anselmo Aieta & Francisco García Jiménez - Penitencia (18-07-1929).flac;Penitencia;Penitencia;Francisco Canaro;Francisco Canaro;Charlo;Charlo;1929-07-18;1929-05-15;tango;tango;Musica: Anselmo Aieta - Letra: Francisco García Jiménez;Musica: Anselmo Aieta - Letra: Francisco García Jiménez;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Colección para entendidos - Francisco Canaro (1929)\17.Alberto Calvera & Enrique López - Pensalo bien (23-10-1929).flac;Pensalo bien;Pensalo bien;Francisco Canaro;Francisco Canaro;Charlo;Charlo;1929-10-23;1929-10-23;tango;tango;;Musica: Alberto Calvera y Enrique López - Letra: Alberto Calvera y Enrique López;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Colección para entendidos - Francisco Canaro (1929)\18.Juan Canaro - Abuelita (06-11-1929).flac;Abuelita;Abuelita;Francisco Canaro;Francisco Canaro;;;1929-11-06;1929-11-06;tango;tango;;Musica: Juan Canaro;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Colección para entendidos - Francisco Canaro (1929)\23.Francisco Canaro - Corazón de oro (11-12-1929).flac;Corazón de oro;Corazón de oro;Francisco Canaro;Francisco Canaro;;;1929-12-11;1929-12-17;tango vals;tango vals;;Musica: Francisco Canaro - Letra: Jesús Fernández Blanco;6.0
D:\Dropbox\TDJ\MUSICA\Eduardo\sc1\09 Yira... Yira....mp3;Yira yira;Yira yira;Francisco Canaro;Francisco Canaro;;Luis Díaz;1930;1930-09-05;tango;tango;;Musica: Enrique Santos Discepolo - Letra: Enrique Santos Discepolo;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 47 (Remasterizado)\14 - Cariñosa (Instrumental Remasterizado).flac;Cariñosa;Cariñosa;Francisco Canaro;Francisco Canaro;; ;1930-05-21;1930-05-21;polca;polca;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 50 (Remasterizado)\14 - Asuero (Instrumental Remasterizado).flac;Asuero;Asuero;Francisco Canaro;Francisco Canaro;; ;1930-07-15;1930-07-15;pasodoble;pasodoble;Musica: ? - Letra: ?;Musica: ? - Letra: ?;6.0
D:\Dropbox\TDJ\MUSICA\HistoTango\Canaro\Francisco Canaro - Colección Completa, Vol. 46 (Remasterizado)\18 - Mi Corazón (Instrumental Remasterizado).flac;Mi corazón;Mi corazón;Francisco Canaro;Francisco Canaro;; ;1930-05-30;1930-05-30;maxixe;maxixe;Musica: Julio Carrasco;Musica: Julio Carrasco;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Colección para entendidos - Francisco Canaro (1927-1931)\10.Juan Canaro - Adiós juventud (07-05-1930).flac;Adiós juventud;Adiós juventud;Francisco Canaro;Francisco Canaro;;;1930-05-07;1930-05-07;tango;tango;;Musica: Juan Canaro;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Colección para entendidos - Francisco Canaro (1927-1931)\17.Francisco Canaro & Juan Andrés Caruso - La última copa (13-05-1931).flac;La última copa;La última copa;Francisco Canaro;Francisco Canaro;Charlo;Charlo;1931-05-13;1931-05-13;tango;tango;;Musica: Francisco Canaro - Letra: Juan Andrés Caruso;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Tipo Loco - Francisco Canaro .wma;Tipo Loco;Tipo loco;Francisco Canaro;Francisco Canaro;;;1931;1931-06-24;tango;tango;;Musica: Ciriaco Ortiz;5.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Francisco Canaro - Pura milonga (1932-1934)\08.Mario Canaro - Sube y baja (23-06-1932).flac;Sube y baja;Sube y baja;Francisco Canaro;Francisco Canaro;;;1932-06-23;1932-05-27;tango;tango;Musica: Mario Canaro;Musica: Mario Canaro;6.0
D:\Dropbox\TDJ\MUSICA\Leandro\Francisco Canaro\Francisco Canaro - Pura milonga (1932-1934)\15.Mario Canaro - Pura milonga (09-09-1932).flac;Pura milonga;Pura milonga;Francisco Canaro;Francisco Canaro;;;1932-09-09;1932-09-09;tango;tango;Miles Davis;Musica: Mario Canaro;6.0
D:\Dropbox\TDJ\MUSICA\Edmundo\Canaro\Francisco Canaro, Ernesto Famá - Sufro.flac;Sufro;Sufro;Francisco Canaro;Francisco Canaro;Ernesto Famá;Ernesto Famá;1933;1933-09-01;tango;tango;Aut: Jesús Fernández Blanco, Com: Luis Canaro;Musica: Luis Canaro - Letra: Jesús Fernández Blanco;6.0
D:\Dropbox\TDJ\MUSICA\Eduardo\4\Milonga Del 900     1 - esu320 ok.mp3;Milonga del novecientos;Milonga del novecientos;Francisco Canaro;Francisco Canaro;Ernesto Famá;Ernesto Famá;1933;1933-05-08;tango milonga;tango milonga;Musica: Sebastián Piana - Letra: Homero Manzi;Musica: Sebastián Piana - Letra: Homero Manzi;6.0
D:\Dropbox\TDJ\MUSICA\Edmundo\Canaro\Francisco Canaro, Ernesto Fama - Milonga del 900.mp3;Milonga del novecientos;Milonga del novecientos;Francisco Canaro;Francisco Canaro;Ernesto Famá;Ernesto Famá;1933;1933-05-08;tango milonga;tango milonga;Musica: Sebastián Piana - Letra: Homero Manzi;Musica: Sebastián Piana - Letra: Homero Manzi;6.0
D:\Dropbox\TDJ\MUSICA\Eduardo\6\22 Milonga Del 900   - esu128.mp3;Milonga del novecientos;Milonga del novecientos;Francisco Canaro;Francisco Canaro;Ernesto Famá;Ernesto Famá;1933;1933-05-08;tango milonga;tango milonga;Musica: Sebastián Piana - Letra: Homero Manzi;Musica: Sebastián Piana - Letra: Homero Manzi;6.0
